,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,total
Connecticut,272854,273884,278295,277874,281659,284357,287560,1956483
Maine ,63698,64746,65434,65545,66590,67138,67905,461056
Massachusetts ,558472,568220,573506,577754,586347,592588,599092,4055979
New Hampshire ,83379,84269,85133,85075,87244,88147,89152,602399
Rhode Island ,59734,60591,60413,61612,62578,63242,63903,432073
Vermont ,32726,33236,33393,33670,34284,34612,34973,236894
Delaware ,72091,73025,74461,74348,74270,75216,75765,519176
District of Columbia ,138469,139580,141969,142626,144075,145476,146996,999191
Maryland ,405573,412085,414704,417976,422247,426407,430388,2929380
New Jersey,612202,620066,625747,629996,636068,641902,648984,4414965
New York,1643466,1668085,1683970,1679944,1707520,1727703,1740745,11851433
Pennsylvania ,766322,781035,790711,794604,801909,810326,817216,5562123
Illinois ,851327,860588,872317,877010,884430,893580,901572,6140824
Indiana,361794,365478,368748,371183,372061,375491,379133,2593888
Michigan ,519926,526009,530614,531835,534427,539232,543977,3726020
Ohio ,662321,673078,682922,685299,689542,696088,701438,4790688
Wisconsin ,331469,334960,337894,340853,342613,345867,348822,2382478
Iowa ,186653,190179,190936,191038,192086,194038,195858,1340788
Kansas,165477,168173,169379,170243,170325,172358,174183,1190138
Minnesota ,360357,367676,372695,374682,375032,379387,383094,2612923
Missouri ,312514,319013,321184,322972,326694,330532,334286,2267195
Nebraska,123942,124053,123226,124690,124786,126322,127941,874960
North Dakota ,54380,55963,57018,56968,56609,57031,57106,395075
South Dakota ,51214,51832,52382,52632,52430,53044,53692,367226
Alabama ,217370,220572,223141,225859,227735,229939,232145,1576761
Arkansas,126089,128353,129033,130201,131038,132438,134022,911174
Florida ,1020177,1032277,1048478,1056014,1073992,1087312,1100721,7418971
Georgia ,579993,588340,597746,602535,607081,613105,619818,4208618
Kentucky,204567,207646,209065,211073,211801,213735,215586,1473473
Louisiana ,251745,256655,259273,261479,260428,263094,264853,1817527
Mississippi ,112674,114940,115471,116252,116930,118263,119497,814027
North Carolina ,552000,563371,566923,572469,578700,585050,590711,4009224
South Carolina ,228541,232474,235528,239176,242484,245083,247711,1670997
Tennessee ,355119,362874,368694,369733,374250,378285,382275,2591230
Virginia ,523334,530306,537214,540716,546007,551848,557144,3786569
West Virginia ,75115,77104,78766,78766,77725,78256,78270,544002
Arizona ,340673,345474,351709,355333,359405,364277,368556,2485427
New Mexico,97489,99742,101586,102370,102579,103814,104349,711929
Oklahoma,198108,201871,204384,205854,204458,206139,206254,1427068
Texas,1751027,1792912,1823659,1842447,1852143,1881553,1896063,12839804
Colorado ,362721,370477,375312,378489,383690,388731,392348,2651768
Idaho ,75435,76681,77384,78707,79440,80446,81493,549586
Montana ,49190,50111,50615,51390,51326,51933,52470,357035
Utah ,174344,177406,179586,181214,184767,187416,189809,1274542
Wyoming ,38431,38957,39473,39613,39393,39788,39610,275265
Alaska ,53563,54373,55410,55591,54941,55495,55430,384803
California ,2928096,2992623,3017340,3052871,3087669,3123732,3155224,21357555
Hawaii ,91947,93589,94288,95369,96094,96832,97664,665783
Nevada,165443,167929,170349,173518,174569,176862,178622,1207292
Oregon ,234832,238125,241630,244544,247562,250402,253036,1710131
Washington,549578,562939,573226,577581,587758,596412,603772,4051266