"rank","State","Population","HouseholdIncome"
1,"District of Columbia",684498,82604
2,"Maryland",6003435,81868
3,"New Jersey",8881845,79363
4,"Hawaii",1422029,78084
5,"Massachusetts",6830193,77378
6,"Alaska",738516,76715
7,"Connecticut",3581504,76106
8,"New Hampshire",1343622,74057
9,"Virginia",8413774,71564
10,"California",39148760,71228
11,"Washington",7294336,70116
12,"Colorado",5531141,68811
13,"Minnesota",5527358,68411
14,"Utah",3045350,68374
15,"Delaware",949495,65627
16,"New York",19618453,65323
17,"Illinois",12821497,63575
18,"North Dakota",752201,63473
19,"Rhode Island",1056611,63296
20,"Wyoming",581836,62268
21,"Vermont",624977,60076
22,"Texas",27885195,59570
23,"Pennsylvania",12791181,59445
24,"Oregon",4081943,59393
25,"Wisconsin",5778394,59209
26,"Nebraska",1904760,59116
27,"Iowa",3132499,58580
28,"Nevada",2922849,57598
29,"Kansas",2908776,57422
30,"South Dakota",864289,56499
31,"Arizona",6946685,56213
32,"Georgia",10297484,55679
33,"Maine",1332813,55425
34,"Michigan",9957488,54938
35,"Ohio",11641879,54533
36,"Indiana",6637426,54325
37,"Missouri",6090062,53560
38,"Florida",20598139,53267
39,"Idaho",1687809,53089
40,"Montana",1041732,52559
41,"North Carolina",10155624,52413
42,"Oklahoma",3918137,51424
43,"South Carolina",4955925,51015
44,"Tennessee",6651089,50972
45,"Alabama",4864680,48486
46,"Kentucky",4440204,48392
47,"New Mexico",2092434,48059
48,"Louisiana",4663616,47942
49,"Arkansas",2990671,45726
50,"West Virginia",1829054,44921
51,"Mississippi",2988762,43567